found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-05,5788128354,"Research Scientist, Gemini Diffusion, DeepMind",Google,"London, UK",2026-07-04,59057.18,59057.18,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5788128354?se=CGIfflV48RG-2tHAxNAnZQ&utm_medium=api&utm_source=bce444a8&v=E56401F0A7C21B846F3396A55E5FACFA92CD832A
2026-07-05,5787919940,"Cafe chef - Milton Keynes, Bucks",BaxterStorey,"Milton Keynes, Buckinghamshire",2026-07-04,30040.22,30040.22,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5787919940?utm_medium=api&utm_source=bce444a8
2026-07-05,5787829579,Embedded Software Engineer (UAVs),Archangel Aerospace Group,"North Hinksey Village, Oxford",2026-07-04,53000,79000,Engineering Jobs,https://www.adzuna.co.uk/jobs/details/5787829579?utm_medium=api&utm_source=bce444a8
2026-07-05,5783922427,eDV Data Scientist,Searchability NS&D,"Manchester, Greater Manchester",2026-07-01,45000,95000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5783922427?se=WPy3fVV48RG-2tHAxNAnZQ&utm_medium=api&utm_source=bce444a8&v=1E0D841CE1F54B4C7B303FFC4D55F4C243E1E164
2026-07-06,5789831292,Applied Scientist,ASOS,"London, UK",2026-07-06,46789.23,46789.23,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789831292?se=wu7QUi158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=6691D8AA464C63859E797B53EEFED5738E4BEB8F
2026-07-06,5789831282,Machine Learning Engineer,ASOS,"London, UK",2026-07-06,55207.69,55207.69,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789831282?se=wu7QUi158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=86A7E9B7E9D2C96B266E5D7254BD894B7D28B082
2026-07-06,5789852421,Trainee AI Engineer,ITOL Recruit,"Mansfield, Nottinghamshire",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852421?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=60799B0CDB8492C6FFD559BF4E8FB9A39B7011C8
2026-07-06,5789852356,AI Software Engineer - eDV Cleared,Searchability NS&D,"London, UK",2026-07-06,65000,100000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789852356?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=9EF89F8C0453A02459047134C4426395737FAE18
2026-07-06,5789851698,Trainee AI Engineer,ITOL Recruit,"Walsall, West Midlands",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851698?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=ED9D1922F9973FE7CCCE59D8AADE5149604680A9
2026-07-06,5789851637,Junior AI Developer,ITOL Recruit,"Stoke-On-Trent, Staffordshire",2026-07-06,30000,45000,IT Jobs,https://www.adzuna.co.uk/jobs/land/ad/5789851637?se=nkVrUy158RGkZupZrIVo-Q&utm_medium=api&utm_source=bce444a8&v=BAEB2DA80E7001B69FD83F2AAB9617B56F3795A5
